Rubro;Dia;Mes;Anio;CodProducto;Nombre;Precio;Cantidad
CREMAS HELADAS 5KG;2;10;2019;503;Producto 503;1238;2
CREMAS HELADAS 5KG;2;10;2019;526;Producto 526;1238;1
CREMAS HELADAS 5KG;2;10;2019;503;Producto 503;1238;3
CREMAS HELADAS 5KG;2;10;2019;543;Producto 543;1238;1
CREMAS HELADAS 5KG;2;10;2019;526;Producto 526;1238;2
CREMAS HELADAS 5KG;2;10;2019;503;Producto 503;1238;3
CREMAS HELADAS 5KG;2;10;2019;526;Producto 526;1238;5
CREMAS HELADAS 5KG;2;10;2019;503;Producto 503;1238;4
CREMAS HELADAS 5KG;2;10;2019;543;Producto 543;1238;1
CREMAS HELADAS 5KG;2;10;2019;506;Producto 506;825;1
CREMAS HELADAS 5KG;2;10;2019;523;Producto 523;825;1
CREMAS HELADAS 5KG;2;10;2019;526;Producto 526;1238;6
CREMAS HELADAS 5KG;2;10;2019;503;Producto 503;1238;2
CREMAS HELADAS 5KG;2;10;2019;526;Producto 526;1238;2
CREMAS HELADAS 5KG;2;10;2019;503;Producto 503;1238;2
CREMAS HELADAS 5KG;2;10;2019;526;Producto 526;1238;2
CREMAS HELADAS 5KG;2;10;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;2;10;2019;543;Producto 543;1238;1
CREMAS HELADAS 5KG;2;10;2019;506;Producto 506;825;1
CREMAS HELADAS 5KG;2;10;2019;523;Producto 523;825;1
CREMAS HELADAS 5KG;2;10;2019;526;Producto 526;1238;2
CREMAS HELADAS 5KG;2;10;2019;503;Producto 503;1238;1
CREMAS HELADAS 5KG;2;10;2019;526;Producto 526;1238;4
CREMAS HELADAS 5KG;2;10;2019;503;Producto 503;1238;3
